timepoint_id,target,type,quantile,value
0,I,quantile,0.01,0.0015505512501113117
0,I,quantile,0.025,0.0030287202826002613
0,I,quantile,0.05,0.006984608550556004
0,I,quantile,0.1,0.037859505228698256
0,I,quantile,0.15,0.060198030620813366
0,I,quantile,0.2,0.1409391313791275
0,I,quantile,0.25,0.22831394150853157
0,I,quantile,0.3,0.32349195778369905
0,I,quantile,0.35,0.36662037074565884
0,I,quantile,0.4,0.45307937860488895
0,I,quantile,0.45,0.5710047036409379
0,I,quantile,0.5,0.6590575873851776
0,I,quantile,0.55,0.7093883246183396
0,I,quantile,0.6,0.7669830441474914
0,I,quantile,0.65,0.8113524705171588
0,I,quantile,0.7,0.8939236164093017
0,I,quantile,0.75,0.9344687610864639
0,I,quantile,0.8,0.9511633157730103
0,I,quantile,0.85,0.9767525076866149
0,I,quantile,0.9,0.9867636501789093
0,I,quantile,0.95,0.9971526175737381
0,I,quantile,0.975,0.9983958289027214
0,I,quantile,0.99,0.9990725028514862
1,I,quantile,0.01,0.0013969805533997715
1,I,quantile,0.025,0.002744707331294194
1,I,quantile,0.05,0.006362491939216852
1,I,quantile,0.1,0.03262038454413414
1,I,quantile,0.15,0.054909995198249816
1,I,quantile,0.2,0.12554872781038284
1,I,quantile,0.25,0.2068524993956089
1,I,quantile,0.3,0.2935290068387985
1,I,quantile,0.35,0.3368395864963531
1,I,quantile,0.4,0.4119337797164917
1,I,quantile,0.45,0.5027397379279137
1,I,quantile,0.5,0.5812558233737946
1,I,quantile,0.55,0.6428906738758088
1,I,quantile,0.6,0.6923523664474487
1,I,quantile,0.65,0.7290542662143709
1,I,quantile,0.7,0.7880923807621002
1,I,quantile,0.75,0.823784127831459
1,I,quantile,0.8,0.8525730252265931
1,I,quantile,0.85,0.8611280858516693
1,I,quantile,0.9,0.8743083238601684
1,I,quantile,0.95,0.9012598931789398
1,I,quantile,0.975,0.9114002868533134
1,I,quantile,0.99,0.9197001832723618
2,I,quantile,0.01,0.001245279746945016
2,I,quantile,0.025,0.0024949710030341523
2,I,quantile,0.05,0.005795992352068425
2,I,quantile,0.1,0.02810758948326111
2,I,quantile,0.15,0.05009126346558332
2,I,quantile,0.2,0.11184246540069581
2,I,quantile,0.25,0.1886114478111267
2,I,quantile,0.3,0.26639111042022706
2,I,quantile,0.35,0.3094785183668136
2,I,quantile,0.4,0.37540299296379087
2,I,quantile,0.45,0.44266675114631654
2,I,quantile,0.5,0.5200088024139404
2,I,quantile,0.55,0.5867084860801698
2,I,quantile,0.6,0.6208890199661254
2,I,quantile,0.65,0.6580503582954407
2,I,quantile,0.7,0.7027252316474915
2,I,quantile,0.75,0.724431037902832
2,I,quantile,0.8,0.7560186266899109
2,I,quantile,0.85,0.7742272615432739
2,I,quantile,0.9,0.7844954788684845
2,I,quantile,0.95,0.8141603499650955
2,I,quantile,0.975,0.8416647627949715
2,I,quantile,0.99,0.8467137807607651
3,I,quantile,0.01,0.0011038641206687317
3,I,quantile,0.025,0.0022715357743436472
3,I,quantile,0.05,0.005280064768157899
3,I,quantile,0.1,0.024220241419970992
3,I,quantile,0.15,0.04569996055215597
3,I,quantile,0.2,0.09963548183441162
3,I,quantile,0.25,0.1701866015791893
3,I,quantile,0.3,0.24399207234382628
3,I,quantile,0.35,0.28434044867753977
3,I,quantile,0.4,0.34119250178337096
3,I,quantile,0.45,0.3900996118783951
3,I,quantile,0.5,0.46936869621276855
3,I,quantile,0.55,0.5300536513328553
3,I,quantile,0.6,0.5575126051902771
3,I,quantile,0.65,0.5868799179792404
3,I,quantile,0.7,0.6149225652217865
3,I,quantile,0.75,0.6349323838949203
3,I,quantile,0.8,0.6661685466766357
3,I,quantile,0.85,0.6924020618200302
3,I,quantile,0.9,0.7166218757629395
3,I,quantile,0.95,0.7398972123861313
3,I,quantile,0.975,0.7771439701318741
3,I,quantile,0.99,0.7802013611793519
4,I,quantile,0.01,0.0009785131650278346
4,I,quantile,0.025,0.002068237736239098
4,I,quantile,0.05,0.0048906240612268444
4,I,quantile,0.1,0.020871466211974624
4,I,quantile,0.15,0.04170563519001007
4,I,quantile,0.2,0.08876369893550873
4,I,quantile,0.25,0.15264641121029854
4,I,quantile,0.3,0.21742428988218307
4,I,quantile,0.35,0.26032986193895336
4,I,quantile,0.4,0.3011908233165741
4,I,quantile,0.45,0.3441130578517914
4,I,quantile,0.5,0.42366333305835724
4,I,quantile,0.55,0.4790463551878929
4,I,quantile,0.6,0.4974838852882385
4,I,quantile,0.65,0.5189501941204071
4,I,quantile,0.7,0.5450728952884674
4,I,quantile,0.75,0.5546394288539886
4,I,quantile,0.8,0.5906460523605347
4,I,quantile,0.85,0.618557983636856
4,I,quantile,0.9,0.6477927088737488
4,I,quantile,0.95,0.6737070620059967
4,I,quantile,0.975,0.7154462903738021
4,I,quantile,0.99,0.7229325813055039
0,R,quantile,0.01,2.0481238453400616e-14
0,R,quantile,0.025,3.805600837036112e-14
0,R,quantile,0.05,8.384381649248832e-14
0,R,quantile,0.1,5.868225013989231e-13
0,R,quantile,0.15,7.629470351929595e-13
0,R,quantile,0.2,1.94402673212718e-12
0,R,quantile,0.25,3.0871987908784315e-12
0,R,quantile,0.3,4.099147757341548e-12
0,R,quantile,0.35,4.5388245028740726e-12
0,R,quantile,0.4,5.7565107194901274e-12
0,R,quantile,0.45,7.668209687020089e-12
0,R,quantile,0.5,8.47564770103948e-12
0,R,quantile,0.55,9.320814172569802e-12
0,R,quantile,0.6,1.0198130361016576e-11
0,R,quantile,0.65,1.0866204637471899e-11
0,R,quantile,0.7,1.1289213574378063e-11
0,R,quantile,0.75,1.1867601085874258e-11
0,R,quantile,0.8,1.2567016698106227e-11
0,R,quantile,0.85,1.3796927055692575e-11
0,R,quantile,0.9,1.5081423436480448e-11
0,R,quantile,0.95,1.5788334268435068e-11
0,R,quantile,0.975,1.644291803409858e-11
0,R,quantile,0.99,1.685361652320472e-11
1,R,quantile,0.01,0.00019389403212699107
1,R,quantile,0.025,0.0003620421222876758
1,R,quantile,0.05,0.0008000712026841938
1,R,quantile,0.1,0.005586343817412853
1,R,quantile,0.15,0.00721561280079186
1,R,quantile,0.2,0.018442174047231676
1,R,quantile,0.25,0.029586305376142263
1,R,quantile,0.3,0.03930548392236233
1,R,quantile,0.35,0.043256879411637784
1,R,quantile,0.4,0.05484843254089356
1,R,quantile,0.45,0.07364156693220139
1,R,quantile,0.5,0.08075255528092384
1,R,quantile,0.55,0.08869575187563897
1,R,quantile,0.6,0.09730557203292847
1,R,quantile,0.65,0.10328426137566567
1,R,quantile,0.7,0.10740307345986365
1,R,quantile,0.75,0.11250253394246101
1,R,quantile,0.8,0.11847685724496843
1,R,quantile,0.85,0.13038156777620313
1,R,quantile,0.9,0.14145767390727998
1,R,quantile,0.95,0.14782975986599922
1,R,quantile,0.975,0.15331443846225734
1,R,quantile,0.99,0.1569728109240532
2,R,quantile,0.01,0.00036785713164135816
2,R,quantile,0.025,0.0006895383055962157
2,R,quantile,0.05,0.0015283011714927852
2,R,quantile,0.1,0.010645487625151873
2,R,quantile,0.15,0.013663276238366962
2,R,quantile,0.2,0.035025819391012195
2,R,quantile,0.25,0.056748850271105766
2,R,quantile,0.3,0.07542280256748199
2,R,quantile,0.35,0.08258420564234256
2,R,quantile,0.4,0.10460439175367356
2,R,quantile,0.45,0.1415562465786934
2,R,quantile,0.5,0.154000423848629
2,R,quantile,0.55,0.16854196265339852
2,R,quantile,0.6,0.18596391379833221
2,R,quantile,0.65,0.1966786287724972
2,R,quantile,0.7,0.20371352285146713
2,R,quantile,0.75,0.21447111293673515
2,R,quantile,0.8,0.22415287196636202
2,R,quantile,0.85,0.24664127975702282
2,R,quantile,0.9,0.2657355308532715
2,R,quantile,0.95,0.27669664323329923
2,R,quantile,0.975,0.2863838665187358
2,R,quantile,0.99,0.292909903228283
3,R,quantile,0.01,0.0005242539520259015
3,R,quantile,0.025,0.0009859071389655583
3,R,quantile,0.05,0.0021913638804107907
3,R,quantile,0.1,0.015228159073740245
3,R,quantile,0.15,0.019425343815237285
3,R,quantile,0.2,0.049941208213567734
3,R,quantile,0.25,0.0816941075026989
3,R,quantile,0.3,0.10798187106847763
3,R,quantile,0.35,0.11856161765754222
3,R,quantile,0.4,0.14974290132522583
3,R,quantile,0.45,0.204204660654068
3,R,quantile,0.5,0.2206343114376068
3,R,quantile,0.55,0.2384603708982468
3,R,quantile,0.6,0.26567108035087583
3,R,quantile,0.65,0.2827490866184235
3,R,quantile,0.7,0.2911669462919235
3,R,quantile,0.75,0.30689191073179245
3,R,quantile,0.8,0.318956857919693
3,R,quantile,0.85,0.35041518062353133
3,R,quantile,0.9,0.37467205822467803
3,R,quantile,0.95,0.3902703493833542
3,R,quantile,0.975,0.40188619121909136
3,R,quantile,0.99,0.41063005775213246
4,R,quantile,0.01,0.000665008713840507
4,R,quantile,0.025,0.0012542049982585013
4,R,quantile,0.05,0.002795200445689261
4,R,quantile,0.1,0.019380063936114314
4,R,quantile,0.15,0.024575307685881852
4,R,quantile,0.2,0.06335890591144562
4,R,quantile,0.25,0.10461022332310677
4,R,quantile,0.3,0.13696051985025406
4,R,quantile,0.35,0.1514079213142395
4,R,quantile,0.4,0.19069428741931918
4,R,quantile,0.45,0.26014233082532884
4,R,quantile,0.5,0.2816216051578522
4,R,quantile,0.55,0.2999943524599076
4,R,quantile,0.6,0.33422685265541074
4,R,quantile,0.65,0.36042195409536365
4,R,quantile,0.7,0.3721950799226761
4,R,quantile,0.75,0.39020417630672455
4,R,quantile,0.8,0.4061585783958435
4,R,quantile,0.85,0.4428841233253479
4,R,quantile,0.9,0.46825017333030705
4,R,quantile,0.95,0.48998633325099944
4,R,quantile,0.975,0.5021456435322761
4,R,quantile,0.99,0.5125751525163651
0,S,quantile,0.01,2.545322914123535
0,S,quantile,0.025,4.022019708156586
0,S,quantile,0.05,7.973965954780579
0,S,quantile,0.1,38.81810531616211
0,S,quantile,0.15,61.1343692779541
0,S,quantile,0.2,141.79503173828127
0,S,quantile,0.25,229.08278274536133
0,S,quantile,0.3,324.1659790039062
0,S,quantile,0.35,367.25144195556635
0,S,quantile,0.4,453.6243041992188
0,S,quantile,0.45,571.4321411132813
0,S,quantile,0.5,659.3972778320312
0,S,quantile,0.55,709.677865600586
0,S,quantile,0.6,767.2152221679687
0,S,quantile,0.65,811.5404174804689
0,S,quantile,0.7,894.0292846679687
0,S,quantile,0.75,934.5340576171875
0,S,quantile,0.8,951.2119750976562
0,S,quantile,0.85,976.7756927490234
0,S,quantile,0.9,986.7768249511719
0,S,quantile,0.95,997.1554504394531
0,S,quantile,0.975,998.3974472045899
0,S,quantile,0.99,999.0734088134766
1,S,quantile,0.01,2.5452827119827273
1,S,quantile,0.025,4.021941554546356
1,S,quantile,0.05,7.973791980743409
1,S,quantile,0.1,38.81711540222168
1,S,quantile,0.15,61.13270168304443
1,S,quantile,0.2,141.79144592285158
1,S,quantile,0.25,229.07674026489258
1,S,quantile,0.3,324.1577423095703
1,S,quantile,0.35,367.2419021606445
1,S,quantile,0.4,453.61284790039065
1,S,quantile,0.45,571.4179107666017
1,S,quantile,0.5,659.3799743652344
1,S,quantile,0.55,709.659457397461
1,S,quantile,0.6,767.1957763671875
1,S,quantile,0.65,811.5201904296877
1,S,quantile,0.7,894.0072998046875
1,S,quantile,0.75,934.509033203125
1,S,quantile,0.8,951.1878173828126
1,S,quantile,0.85,976.7504638671875
1,S,quantile,0.9,986.7517883300782
1,S,quantile,0.95,997.1301788330078
1,S,quantile,0.975,998.3730514526367
1,S,quantile,0.99,999.0477252197265
2,S,quantile,0.01,2.5452467918396
2,S,quantile,0.025,4.021869724988938
2,S,quantile,0.05,7.9736210107803345
2,S,quantile,0.1,38.81635990142823
2,S,quantile,0.15,61.131391525268555
2,S,quantile,0.2,141.78819274902344
2,S,quantile,0.25,229.07159042358398
2,S,quantile,0.3,324.15028991699216
2,S,quantile,0.35,367.2332382202148
2,S,quantile,0.4,453.60203857421874
2,S,quantile,0.45,571.4052276611329
2,S,quantile,0.5,659.3639831542969
2,S,quantile,0.55,709.6424163818359
2,S,quantile,0.6,767.1776733398436
2,S,quantile,0.65,811.5022430419924
2,S,quantile,0.7,893.9880249023437
2,S,quantile,0.75,934.4869689941406
2,S,quantile,0.8,951.1661499023438
2,S,quantile,0.85,976.7279296875
2,S,quantile,0.9,986.7304626464844
2,S,quantile,0.95,997.1080749511718
2,S,quantile,0.975,998.3478500366211
2,S,quantile,0.99,999.0263299560547
3,S,quantile,0.01,2.545213975906372
3,S,quantile,0.025,4.0218090415000916
3,S,quantile,0.05,7.973477745056153
3,S,quantile,0.1,38.8156623840332
3,S,quantile,0.15,61.13007164001465
3,S,quantile,0.2,141.78550720214844
3,S,quantile,0.25,229.0669708251953
3,S,quantile,0.3,324.1434844970703
3,S,quantile,0.35,367.2252685546875
3,S,quantile,0.4,453.5925964355469
3,S,quantile,0.45,571.3937805175782
3,S,quantile,0.5,659.3503723144531
3,S,quantile,0.55,709.6277313232422
3,S,quantile,0.6,767.1610717773436
3,S,quantile,0.65,811.4861236572268
3,S,quantile,0.7,893.9717041015624
3,S,quantile,0.75,934.4671630859375
3,S,quantile,0.8,951.1464599609375
3,S,quantile,0.85,976.7075683593749
3,S,quantile,0.9,986.7118530273438
3,S,quantile,0.95,997.0880950927734
3,S,quantile,0.975,998.327603149414
3,S,quantile,0.99,999.0052209472656
4,S,quantile,0.01,2.545186858177185
4,S,quantile,0.025,4.021749752759934
4,S,quantile,0.05,7.973345804214477
4,S,quantile,0.1,38.815079116821295
4,S,quantile,0.15,61.12887802124023
4,S,quantile,0.2,141.7829345703125
4,S,quantile,0.25,229.06267166137695
4,S,quantile,0.3,324.1373260498047
4,S,quantile,0.35,367.21779785156247
4,S,quantile,0.4,453.5840087890625
4,S,quantile,0.45,571.3838836669923
4,S,quantile,0.5,659.3370666503906
4,S,quantile,0.55,709.6138061523437
4,S,quantile,0.6,767.1463745117187
4,S,quantile,0.65,811.4721435546877
4,S,quantile,0.7,893.9572814941406
4,S,quantile,0.75,934.4494171142578
4,S,quantile,0.8,951.1292358398438
4,S,quantile,0.85,976.6895019531249
4,S,quantile,0.9,986.6957885742188
4,S,quantile,0.95,997.0712219238281
4,S,quantile,0.975,998.3079330444336
4,S,quantile,0.99,998.988676147461
